Series_Title,Runtime_of_Series,Certificate,Runtime_of_Episodes,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4,No_of_Votes
Hill Street Blues,(1981–1987),NA,60 min,"Crime, Drama, Mystery",8.1,The lives and work of the staff of an inner city police precinct.,Michael Warren,Bruce Weitz,James Sikking,NA,7460
Still Standing,(2002–2006),NA,30 min,"Comedy, Romance",7.5,Bill and Judy are not your average parents,Mark Addy,Jami Gertz,Jennifer Irwin,Taylor Ball,7457
Unsolved Mysteries,(2020– ),13,45 min,"Documentary, Crime, Mystery",7.3,"Immersive, character-driven stories are rooted in the experiences of ordinary people who have lived the unthinkable. Families, detectives and journalists hope viewers hold the clues to solving these mysteries.",Pistol Black,Myrtle Carter,Jane Green,Teruo Konno,7456
Whose Line Is It Anyway?,(2013– ),NA,22 min,"Comedy, Game-Show",8.4,"Aisha Tyler hosts this skit comedy show where the actors on the show, usually Wayne Brady, Colin Mochrie, Ryan Stiles and another guest star or two do different comedy skits. It's all improv and made up on the spot.",Aisha Tyler,Ryan Stiles,Wayne Brady,NA,7456
Inside Look: The Assassination of Gianni Versace - American Crime Story,(2017–2018),NA,3 min,"Documentary, Short",7.7,An inside look at the making of American Crime Story: The Assassination of Gianni Versace.,Ricky Martin,Penélope Cruz,Edgar Ramírez,NA,7441
Between Two Ferns with Zach Galifianakis,(2008– ),NA,4 min,"Short, Comedy, Talk-Show",8.4,Zach Galifinakas comically interviews various celebrites between two ferns.,Jon Hamm,Bradley Cooper,Misty Monroe,NA,7438
Tell Me a Story,(2018–2020),18,52 min,Thriller,7.2,"An anthology series featuring beloved fairy tales interweaving into a subversive tale of love, loss, greed, revenge and murder.",Danielle Campbell,Paul Wesley,James Wolk,Billy Magnussen,7428
Medcezir,(2013–2015),NA,100 min,"Comedy, Drama, Romance",6.9,"Yaman,who lives in one of the Istanbul's suburbs,is arrested and put in jail along with his brother Kenan for his brother stole a car at a gas station.Yaman gets a chance for a brand new start when he meets a lawyer Selim who takes Yaman to his new home.",Serenay Sarikaya,Metin Akdülger,Baris Falay,NA,7427
Love Life,(2020– ),NA,NA,"Comedy, Romance",7.5,Anna Kendrick stars in a fresh take on a romantic comedy anthology series about the journey from first love to lasting love.,Anna Kendrick,Zoe Chao,Peter Vack,Sasha Compère,7420
Damien,(2016),NA,60 min,"Drama, Horror",6.9,"After discovering his origins, Damien Thorn must cope with life as the Anti-Christ.",Megalyn Echikunwoke,Omid Abtahi,Barbara Hershey,NA,7415
Casual,(2015–2018),NA,25 min,"Comedy, Drama",7.5,"A comedy series about a bachelor brother and his newly divorced sister living under one roof again. Together, they coach each other through the crazy world of dating while raising her teenage daughter.",Tommy Dewey,Tara Lynne Barr,Nyasha Hatendi,NA,7386
Sports Night,(1998–2000),NA,30 min,"Comedy, Drama, Sport",8.2,"Casey McCall and Dan Rydell are sports anchors and best friends. On ""Sports Night,"" their nightly cable program.",Peter Krause,Felicity Huffman,Joshua Malina,NA,7378
Beast Wars: Transformers,(1996–1999),NA,30 min,"Animation, Action, Sci-Fi",8.1,"The Transformers' war continues in an older time, through a new generation. On pliocenic Earth, the heroic Maximals and the evil Predacons battle for survival against each other and against a violent planet.",Garry Chalk,Ian James Corlett,Richard Newman,NA,7374
High Fidelity,(2020),NA,NA,"Comedy, Drama, Romance",7.7,"A fan of music, pop culture and Top Five lists runs a local record store in her hometown. An adaptation of Nick Hornby's novel ""High Fidelity"".",Zoë Kravitz,Jake Lacy,Da'Vine Joy Randolph,David H. Holmes,7366
Critical Role,(2015– ),NA,180 min,"Adventure, Fantasy",9.3,"A live weekly show, where a band of professional voice actors improvise, role-play and roll their way through an epic Dungeons & Dragons campaign.",Taliesin Jaffe,Marisha Ray,Matthew Mercer,NA,7353
Sealab 2021,(2000–2005),NA,11 min,"Animation, Comedy, Sci-Fi",7.9,"The drama of an oft-doomed aquatic colony and its personnel, who hate each other.",Erik Estrada,Ellis Henican,Brett Butler,NA,7336
Space: 1999,(1975–1977),NA,50 min,"Adventure, Drama, Sci-Fi",7.3,The crew of Moonbase Alpha must struggle to survive when a massive explosion throws the Moon from orbit into deep space.,Barbara Bain,Nick Tate,Zienia Merton,NA,7323
Lexx,(1996–2002),R,90 min,"Action, Adventure, Comedy",7.3,A group of disparate fugitives from an interplanetary tyranny find themselves in control of a massively powerful starship.,Brian Downey,Michael McManus,Jeffrey Hirschfield,Xenia Seeberg,7317
Men Behaving Badly,(1992–2014),NA,45 min,Comedy,7.7,Two early thirties best friends live together while having completely different personalities. While their girlfriends try to help them take on more responsibilities the boys seldom respond well and usually end up drinking together.,Caroline Quentin,Leslie Ash,Neil Morrissey,NA,7310
Enlightened,(2011–2013),NA,28 min,"Comedy, Drama",7.5,"A self-destructive woman who has a spiritual awakening becomes determined to live an enlightened life, creating havoc at home and work.",Diane Ladd,Sarah Burns,Luke Wilson,NA,7302
Wipeout,(2008–2014),NA,42 min,"Comedy, Family, Game-Show",6.5,Contestants make their way through a giant obstacle course to win a cash prize.,John Anderson,Jill Wagner,Vanessa Lachey,NA,7292
A Gifted Man,(2011–2012),NA,45 min,"Drama, Fantasy",7,Centers on an ultra-competitive surgeon whose life is changed forever when his ex-wife dies and begins teaching him what life is all about from the here-after.,Jennifer Ehle,Margo Martindale,Pablo Schreiber,NA,7289
Wire in the Blood,(2002–2009),NA,69 min,"Crime, Drama, Mystery",8.3,A psychologist gets inside of the minds of both killers and victims to aid the police in solving gruesome serial killings in Northern England.,Mark Letheren,Emma Handy,Mark Penfold,NA,7281
Breaking In,(2011–2012),NA,30 min,"Comedy, Crime",7.1,"A high-tech security firm takes extreme, and often questionable, measures to sell their protection services.",Alphonso McAuley,Christian Slater,Jennifer Irwin,NA,7274
The Outer Limits,(1963–1965),NA,51 min,"Fantasy, Horror, Sci-Fi",8.2,An anthology series of insightful science fiction tales.,Ben Wright,William Douglas,Robert Culp,NA,7266
Freakazoid!,(1995–1997),NA,30 min,"Animation, Comedy, Family",7.5,"Washington, D.C. has a new defender: Freakazoid (Paul Rugg). The comedy and insanity never stop when he's around, and he's only one of the weird heroes of the series. It's better than a nice tub of good things.",David Kaufman,Joe Leahy,Tress MacNeille,NA,7256
Catfish: The TV Show,(2012– ),NA,60 min,Reality-TV,7.1,Nev Schulman and Max Joseph help people who have fallen in love online test the authenticity of their lovers' identities.,Max Joseph,Kamie Crawford,Bettina Kenney,NA,7250
Chambers,(2019),18,60 min,"Drama, Fantasy, Horror",6.5,A woman survives a heart transplant and begins to develop different personality traits.,Sivan Alyra Rose,Marcus LaVoi,Nicholas Galitzine,Kyanna Simone Simpson,7242
Liar,(2017–2020),NA,45 min,"Crime, Drama, Thriller",7.1,British psychological thriller in which schoolteacher Laura Nielson accuses renowned surgeon Andrew Earlham of rape.,Ioan Gruffudd,Zoë Tapper,Richie Campbell,NA,7232
Here Comes Honey Boo Boo,(2012–2017),NA,60 min,Reality-TV,2.6,"A reality TV show featuring the life of Toddlers and Tiaras competitor Alana, A.K.A. 'Honey Boo Boo', and her overweight family, as they live every day.",Alana Thompson,June Shannon,Jessica Shannon,NA,7222
The Sarah Silverman Program.,(2007–2010),NA,22 min,Comedy,6.8,"Sarah's immature, only thinks of herself and has no inhibition nor work. Her sister Laura pays her rent. She has a gay couple as neighbors. Laura's seeing cop Jay.",Laura Silverman,Brian Posehn,Steve Agee,NA,7218
Cardinal,(2017–2020),NA,42 min,"Crime, Drama, Mystery",7.7,"Cardinal struggles to right past wrongs that could derail his investigation and end his career, as the case grows more violent and twisted and the clock ticks down on the killer's next victim.",Karine Vanasse,Kristen Thomson,Glen Gould,NA,7202
The Amanda Show,(1999–2002),NA,30 min,"Comedy, Family",6.7,A comedy sketch show centered around All That (1994) alum Amanda Bynes.,Drake Bell,Nancy Sullivan,John Kassir,NA,7196
Are You Being Served?,(1972–1985),NA,28 min,Comedy,7.9,The misadventures of the staff of a retail floor of a major department store.,John Inman,Frank Thornton,Wendy Richard,NA,7178
Wolf's Rain,(2003–2004),NA,701 min,"Action, Sci-Fi, Animation",8,"In a post-apocalyptic future where humans live in domed cities surrounded by wasteland, wolves are assumed to be two hundred years extinct.",Kenta Miyake,Akio Suyama,Crispin Freeman,NA,7177
Speechless,(2016–2019),NA,30 min,Comedy,7.6,The family of a special-needs teen is good at dealing with the challenges he faces - and excellent at creating new ones.,John Ross Bowie,Cedric Yarbrough,Mason Cook,NA,7176
Aranyélet,(2015–2018),NA,60 min,"Action, Drama, Thriller",8.8,"A corrupt businessman and family man attempts to navigate his way through increasing domestic, legal, and financial problems.",Eszter Ónodi,Renátó Olasz,Laura Döbrösi,NA,7174
Parfum,(2018),18,45 min,"Drama, Thriller",7.1,"When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her.",Friederike Becht,Natalia Belitski,Oskar Belton,Leon Lukas Blaschke,7167
Merlí,(2015–2018),18,58 min,"Comedy, Drama, Romance",8.6,"TV series about a high school philosophy teacher, Merlí, who teaches in an original way, and about the students of his class, including his own son, and the relationship, friendship, love, and problems among the students of the class.",Francesc Orella,Pere Ponce,Carlos Cuevas,Marta Marco,7164
Kingdom Hospital,(2004),NA,608 min,"Drama, Fantasy, Horror",6.8,"Stephen King's take on the masterpiece series by Lars von Trier. A great disaster threatens a haunted hospital in Lewiston, Maine, built on the site of a Civil War-era mill fire in which many children died.",Diane Ladd,Bruce Davison,Jack Coleman,NA,7149
Wonder Woman,(1975–1979),NA,60 min,"Action, Adventure, Drama",7.1,The adventures of the greatest of the female superheroes.,Lyle Waggoner,Tom Kratochvil,Richard Eastham,NA,7146
Vegas,(2012–2013),NA,44 min,"Action, Crime, Drama",7.3,"Ralph Lamb, a former MP for the US Army, becomes sheriff. His brother, Jack, and his son, Dixon, are deputized. Meanwhile, Vincent Savino comes from Chicago to Vegas to run The Savoy hotel and casino.",Michael Chiklis,Carrie-Anne Moss,Taylor Handley,NA,7139
War of the Worlds,(2019– ),NA,49 min,"Drama, Mystery, Sci-Fi",6.3,"Set in contemporary France, this Anglo-French reimagining of H. G. Wells' classic in the style of Walking Dead follows pockets of survivors forced to team up after an apocalyptic extra-terrestrial strike.",Léa Drucker,Gabriel Byrne,Adel Bencherif,NA,7120
Fraggle Rock,(1983–1987),NA,30 min,"Animation, Adventure, Comedy",7.9,The adventures of the various inhabitants of an underground civilization.,Gerard Parkes,Kathryn Mullen,Steve Whitmire,NA,7118
Ben de Özledim,(2013–2014),NA,75 min,"Comedy, Fantasy",8.1,"Leyla and Mecnun series has been canceled, as the teams try to hold on to life.",Serkan Keskin,Osman Sonant,Ahmet Mümtaz Taylan,NA,7117
Motherland: Fort Salem,(2020– ),NA,NA,"Drama, Fantasy, Sci-Fi",7.1,A trio of witches are trained to become powerful weapons for the American military.,Taylor Hickson,Amalia Holm,Demetria McKinney,Jessica Sutton,7115
Fabulous Lives of Bollywood Wives,(2020– ),18,35 min,Reality-TV,3.5,"Cameras follow the banter and bonding between four fun-loving women from Bollywood's inner circle as they juggle professions, family and friendship.",Maheep Kapoor,Seema Khan,Neelam Kothari,Bhavana Pandey,7107
The Young Indiana Jones Chronicles,(1992–1993),NA,45 min,"Action, Adventure, Family",7.3,The adventures of the archaeological treasure hunter in his youth as related by an elderly Indiana Jones.,George Hall,Corey Carrier,Ronny Coutteure,NA,7083
Would I Lie to You?,(2007– ),NA,30 min,"Comedy, Game-Show",8.1,"Two teams, lead by their team leader (either Lee Mack or David Mitchell), have to try and make the other team believe their crazy stories.",Lee Mack,Rob Brydon,Paul Ridley,NA,7072
Him-ssen yeo-ja Do Bong-soon,(2017),16,67 min,"Comedy, Crime, Drama",8.2,"Do Bong-soon is a woman born with superhuman strength that comes from the long line of women possessing it. when Ahn Min Hyuk, the CEO of ainsoft, a gaming company witnesses her strength he hires her as his personal bodyguard.",Park Bo-Young,Park Hyung-Shik,Ji Soo,Jun Suk-ho,7071
Clarence,(2013–2018),NA,23 min,"Animation, Short, Adventure",6.6,"The adventures of a 4th grader named Clarence along with his two best friends, Sumo and Jeff.",Katie Crown,Tom Kenny,Sean Giambrone,NA,7064
Necessary Roughness,(2011–2013),NA,60 min,"Comedy, Drama, Romance",7,"A Long Island psychotherapist's personal life unravels when she finds her husband cheating. Diving fully into her work, Dr. Dani Santino soon finds herself as the most sought-after ...                See full summary »",Scott Cohen,Mehcad Brooks,Marc Blucas,NA,7062
Lipstick Jungle,(2008–2009),NA,60 min,"Comedy, Drama",6.5,"A look at the lives of Nico, Wendy, and Victory -- three of ""New York's 50 Most Powerful Women,"" according to The New York Post.",Kim Raver,Lindsay Price,Paul Blackthorne,NA,7055
The Bold and the Beautiful,(1987– ),NA,30 min,"Drama, Romance",3.4,"The saga of high fashion glamour, honor, romance, passion, and most importantly, family.",Ronn Moss,Susan Flannery,John McCook,NA,7047
The Player,(2015),NA,60 min,"Action, Crime, Drama",7,"A former intelligence and FBI officer, who now works as a security expert in Las Vegas, is recruited by mysterious pit boss Mr. Johnson to, based on his tips, try to prevent crimes, while the rich place bets on his chances of success.",Damon Gupton,Wesley Snipes,Charity Wakefield,NA,7037
Mob City,(2013),NA,60 min,"Crime, Drama, Mystery",7.5,"1947, Los Angeles. Cop Joe Teague walks the line between the LAPD, led by William Parker, and the mob, led by Bugsy Siegel.",Milo Ventimiglia,Neal McDonough,Alexa Davalos,NA,7036
Kara Sevda,(2015–2017),NA,90 min,"Drama, Romance",7.2,A young artist finds herself obligated to sacrifice her love story for hiding a family secret.,Neslihan Atagül,Kaan Urgancioglu,Orhan Güner,NA,7033
Childrens Hospital,(2008–2016),NA,11 min,Comedy,7.8,"Explores the emotional struggles and sexual politics of a group of doctors charged with healthy libidos. Their dedication to their personal lives is relentless, interrupted only by the occasional need to treat sick children.",Rob Corddry,Ken Marino,Erinn Hayes,NA,7032
Gantz,(2004),NA,22 min,"Animation, Action, Comedy",7.2,A group of people are resurrected from their deaths by a mysterious black ball called GANTZ to combat alien criminals hiding on Earth.,Emily Carter-Essex,Shannon Emerick,John Gremillion,NA,7032
Transporter: The Series,(2012–2014),NA,48 min,"Action, Crime",6.5,"Frank Martin is an ex special ops, who now spends his life as a transporter on the other side of the law. With three rules, he always completes his contracts. One way, or the other.",François Berléand,Charly Hübner,Violante Placido,NA,7031
Tatli Hayat,(2001–2004),NA,58 min,"Comedy, Family",8.5,"A Turkish remake of ""The Jeffersons"". With Ihsan Yildirim's cleaning business booming, he insisted his family leave the ""plain folks"" and move up to Etiler with the ""fancy folks."" It is ...                See full summary »",Asli Altaylar,Ceyda Ates,Nami Esatgil,NA,7027
Conviction,(I) (2016–2017),NA,42 min,Drama,7.2,A brilliant attorney and former First Daughter is blackmailed to heading a unit that investigates cases of wrongful conviction.,Eddie Cahill,Shawn Ashmore,Merrin Dungey,NA,7024
Life with Louie,(1994–1998),NA,30 min,"Animation, Adventure, Comedy",8.3,"Adventures of Louie Anderson as a child, growing up with his sweet-hearted mother, his loud and war crazed father, his 10 siblings, and children at school who love to tease him.",Edie McClurg,Justin Shenkarow,Miko Hughes,NA,7022
The First,(2018),NA,45 min,"Drama, Sci-Fi",6.7,Fictional series to chronicle the effort to send the first crewed mission to Mars.,Natascha McElhone,LisaGay Hamilton,Hannah Ware,NA,7021
Mary Tyler Moore,(1970–1977),NA,30 min,Comedy,8.1,"The lives and trials of a young single woman and her friends, both at work and at home.",Edward Asner,Gavin MacLeod,Valerie Harper,NA,7018
Hilda,(2018–2020),7,24 min,"Animation, Adventure, Comedy",8.6,"A fearless blue-haired girl named Hilda leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous.",Bella Ramsey,Ameerah Falzon-Ojo,Oliver Nelson,Daisy Haggard,6993
The Good Guys,(2010),NA,60 min,"Action, Comedy",8.1,"Jack is a by-the-book detective whose habit of undermining himself has resulted in a dead-end position with the Police Dept. His partner Dan, a drunken, lecherous veteran hangs onto his job only because of one heroic act years ago.",Colin Hanks,Jenny Wade,Diana Maria Riva,NA,6993
Trinkets,(2019–2020),18,30 min,"Comedy, Crime, Drama",7.1,An unexpected friendship forms when three teenage girls meet in Shoplifters Anonymous.,Brianna Hildebrand,Kiana Madeira,Quintessa Swindell,Odiseas Georgiadis,6981
Teletubbies,(1997–2001),NA,28 min,"Family, Fantasy, Musical",3.8,Four creatures with televisions in their stomachs have fun in their magical world.,Jessica Smith,John Simmit,Nikky Smedley,NA,6979
I Am the Night,(2019),NA,60 min,"Crime, Drama, Mystery",7,"In early 1960s, a teenage girl looking for her real father and a disgraced journalist seeking closure find themselves drawn into a web of secrets revolving around L.A.'s most infamous cold case, the Black Dahlia (Elizabeth Short) murder.",India Eisley,Jefferson Mays,Leland Orser,NA,6974
Mr. Pickles,(2013–2019),NA,15 min,"Animation, Comedy, Horror",7.4,"The Goodman family lives with their lovable pet dog, Mr. Pickles, a deviant border collie with a secret satanic streak.",Kaitlyn Robrock,Will Carsola,Jay Johnston,NA,6971
Gintama,(2005–2018),NA,16,"Animation, Action, Comedy",8.6,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai,NA,6963
Ben 10: Alien Force,(2008–2010),All,22 min,"Animation, Action, Adventure",7.1,"Fifteen-year-old Ben Tennyson must utilize the Omnitrix yet again in order to locate his missing Grandpa Max, accompanied by his cousin Gwen and former enemy Kevin 11.",Yuri Lowenthal,Dee Bradley Baker,Ashley Johnson,Greg Cipes,6962
The Grinder,(2015–2016),NA,21 min,Comedy,7.1,"Television lawyer Dean Sanderson moves back to his small home town after a stint in Hollywood, thinking that his time on TV qualifies him to run his family's law firm.",Fred Savage,Mary Elizabeth Ellis,Hana Hayes,NA,6958
Satyamev Jayate,(2012–2014),NA,65 min,"Documentary, Talk-Show",8.6,Aamir Khan hosts and produces this documentary/talkshow that explores the social issues affecting modern India.,Devendra Singh Gaur,Sridevi,Laxmi Agarwal,NA,6956
The Rockford Files,(1974–1980),NA,50 min,"Crime, Drama, Mystery",8.1,The cases of an easy-going ex-convict turned private investigator.,Noah Beery Jr.,Joe Santos,Luis Delgado,NA,6956
The Bernie Mac Show,(2001–2006),NA,30 min,"Comedy, Drama, Family",7,A stand up comedian suddenly becomes a father when he takes custody of his sister's three children.,Kellita Smith,Jeremy Suarez,Dee Dee Davis,NA,6952
The Great British Bake Off,(2010– ),NA,60 min,Reality-TV,8.6,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,Mary Berry,Mel Giedroyc,Sue Perkins,NA,6948
Harlots,(2017–2019),18,45 min,Drama,7.7,Brothel owner Margaret Wells struggles to raise her daughters in London during the 18th century.,Lesley Manville,Kate Fleetwood,Holli Dempsey,Eloise Smyth,6936
American Pickers,(2010– ),NA,60 min,"Documentary, Reality-TV",7,Mike and Frank are pickers that travel the country and literally would go anywhere just for the prospects of finding antique gold. With the assistance of Danielle they often find themselves in a comedic pickle.,Danielle Colby-Cushman,Frank Fritz,Robbie Wolfe,NA,6932
Blossom,(1990–1995),NA,30 min,"Comedy, Drama, Family",6,A teenage girl living in a house run by men dreams what life would be like if she lived in a more conventional family.,Jenna von Oÿ,Joey Lawrence,Ted Wass,NA,6931
Eye Candy,(2015),NA,60 min,"Crime, Drama, Mystery",7.2,A New York woman suspects that one of her online dates is a serial killer.,Casey Deidrick,Harvey Guillén,Marcus Callender,NA,6930
Damnation,(2017–2018),NA,60 min,"Crime, Drama, Western",7.7,"An epic saga about the secret history of the 1930s American heartland, centering on the mythic conflict and bloody struggle between big money and the downtrodden.",Killian Scott,Sarah Jones,Chasten Harmon,NA,6927
High Maintenance,(2016– ),18,30 min,"Comedy, Drama",8.1,A comedy that explores the private lives of unique New York individuals through a common thread: their weed deliveryman.,Ben Sinclair,Kate Lyn Sheil,Britt Lower,Abdullah Saeed,6916
Tiny Pretty Things,(2020– ),18,60 min,"Drama, Mystery, Thriller",5.8,"Follows the world of an elite ballet academy, and charts the rise and fall of young adults who live far from their homes, each standing on the verge of greatness or ruin.",Kylie Jefferson,Lauren Holly,Casimere Jollette,Brennan Clost,6914
Phil of the Future,(2004–2006),NA,25 min,"Adventure, Comedy, Family",7,"A family from 2121 is stuck in 2004, trying desperately to fit in.",Amy Bruckner,Craig Anton,Lise Simms,NA,6908
High School DxD,(2012–2018),18,23 min,"Animation, Action, Comedy",7.6,"After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.",Yûki Kaji,Yôko Hikasa,Azumi Asakura,Shizuka Itô,6901
Taarak Mehta Ka Ooltah Chashmah,(2008– ),U,22 min,"Comedy, Family",8,"The day-to-day happenings of Gokuldham Society and its members, who live, celebrate and often face problems together.",Dilip Joshi,Disha Vakani,Amit Bhatt,Bhavya Gandhi,6901
Rosewood,(2015–2017),NA,42 min,"Crime, Drama, Mystery",6.7,"Miami pathologist Dr. Beaumont Rosewood, Jr. finds secrets in people's bodies using his state-of-the-art laboratory equipment.",Jaina Lee Ortiz,Gabrielle Dennis,Anna Konkle,NA,6889
Explained,(2018– ),NA,18 min,Documentary,8.1,A documentary series that looks to explore the big questions of today.,Maria Bello,Kristen Bell,Rachel Bloom,NA,6882
The Trip,(2010– ),NA,172 min,Comedy,8,Steve is asked to review restaurants for the UK's Observer who is joined on a working road trip by his friend Rob who fills in at the last minute when Coogan's romantic relationship falls apart.,Rob Brydon,Claire Keelan,Rebecca Johnson,NA,6848
Top Cat,(1961–1962),NA,30 min,"Animation, Comedy, Crime",7.1,"Top Cat is the leader of a group of alley cats, always trying to cheat someone.",Allen Jenkins,Arnold Stang,Maurice Gosfield,NA,6848
All That,(1994–2019),NA,30 min,"Comedy, Family, Music",7.5,A zany sketch comedy featuring many wacky characters hosted for kids and by kids.,Nick Cannon,Kenan Thompson,Soup,NA,6843
9-1-1: Lone Star,(2020– ),12+,43 min,"Action, Drama, Thriller",6.6,"A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.",Rob Lowe,Ronen Rubinstein,Sierra Aylina McClain,Jim Parrack,6836
Fantasy Island,(1977–1984),NA,60 min,"Adventure, Comedy, Drama",6.5,"The mysterious Mr. Roarke runs a unique resort island in the Pacific Ocean that can fulfill literally any fantasy requested by guests, but they rarely turn out as expected.",Hervé Villechaize,Christopher Hewett,Wendy Schaal,NA,6836
The Avengers,(1961–1969),NA,60 min,"Action, Comedy, Crime",8.3,A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominately female partners.,Diana Rigg,Honor Blackman,Linda Thorson,NA,6825
Brotherhood,(2006–2008),NA,60 min,"Crime, Drama",7.7,"Set in an Irish neighborhood in Providence, Rhode Island, the series reflects around two brothers on opposite sides of the law: one a gangster (Jason Isaacs) and the other a state politician (Jason Clarke).",Jason Clarke,Annabeth Gish,Kevin Chapman,NA,6821
Beyond,(I) (2016–2018),NA,43 min,"Drama, Fantasy, Mystery",7,A young man wakes up from a 12 year coma to discover new abilities that come to propel him into the middle of a dangerous conspiracy.,Dilan Gwyn,Jonathan Whitesell,Michael McGrady,NA,6819
Frisky Dingo,(2006–2008),NA,11 min,"Animation, Comedy, Sci-Fi",8.1,"A philandering billionaire playboy who moonlights as the superhero, Awesome X, faces against his greatest adversary, Killface, but finds balancing his business and superhero lives difficult.",Eric Sims,Neal Holman,Stuart Culpepper,NA,6805
Finding Carter,(2014–2015),NA,42 min,Drama,7.5,A teenager finds out she was abducted as a toddler and returns to her biological family.,Cynthia Watros,Anna Jacoby-Heron,Alex Saxon,NA,6798
Food Wars: Shokugeki no Soma,(2015– ),13,24 min,"Animation, Comedy, Drama",8.2,Soma Yukihira enrolls in an elite culinary school to become a full-time chef and surpass his father's culinary skills.,Yoshitsugu Matsuoka,Minami Takahashi,Maaya Uchida,Ai Kayano,6794
Haters Back Off!,(2016–2017),NA,30 min,"Comedy, Drama, Family",6,"The odd ball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.",Angela Kinsey,Francesca Reale,Erik Stocklin,NA,6791
Leave It to Beaver,(1957–1963),NA,30 min,"Comedy, Family",7.5,"The misadventures of a suburban boy, family and friends.",Hugh Beaumont,Barbara Billingsley,Tony Dow,NA,6775
City on a Hill,(2019– ),15+,60 min,"Crime, Drama, Thriller",7.5,"In early 1990s Boston, ADA Decourcy Ward forms an unlikely alliance with a corrupt venerated FBI veteran, Jackie Rohr. Together, they take on a case that changes the city's entire criminal justice system.",Kevin Bacon,Aldis Hodge,Mark O'Brien,Amanda Clayton,6774
Army Wives,(2007–2013),NA,60 min,"Drama, Romance, War",7.3,Four women and one man share the common bond of loving someone in the U.S. Army.,Wendy Davis,Catherine Bell,Sterling K. Brown,NA,6768
Johnny Test,(2005–2014),NA,30 min,"Animation, Action, Adventure",5,"The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process.",Maryke Hendrikse,Lee Tockar,Ashleigh Ball,NA,6766
New Amsterdam,(2008),NA,60 min,"Crime, Drama, Sci-Fi",7.4,A New York homicide detective is cursed with immortality.,Zuleikha Robinson,Alexie Gilmore,Stephen McKinley Henderson,NA,6764
GTO,(1999–2000),18,24 min,"Animation, Comedy, Drama",8.6,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.",Steve Blum,Tom Fahn,Jun'ichi Suwabe,Wataru Takagi,6762
One Strange Rock,(2018– ),NA,47 min,Documentary,8.8,The extraordinary story of Earth and why it is special and uniquely brimming with life among a largely unknown but harsh cosmic arena,Will Smith,Chris Hadfield,Jerry Linenger,Mae C. Jemison,6755
"Bill Nye, the Science Guy",(1993–1998),NA,30 min,"Documentary, Comedy, Family",8.2,Scientist/comedian Bill Nye explores various aspects of science for young viewers.,Pat Cashman,Michaela Leslie-Rule,Jaffar Smith,NA,6751
Liv and Maddie,(2013–2017),NA,22 min,"Comedy, Drama, Family",6.3,"Follows Liv, a popular television star whose show has just finished its run, and Maddie, an outstanding student and school basketball star whose popularity is on the rise, until Liv makes a return to their high school.",Joey Bragg,Tenzing Norgay Trainor,Kali Rocha,NA,6749
The Wrong Mans,(2013–2014),NA,29 min,"Comedy, Crime, Thriller",7.8,"From actor/writer duo James Corden and Mathew Baynton, The Wrong Mans series centers on Sam Pinkett and Phil Bourne, office workers for Berkshire County Council, who have their menial ...                See full summary »",James Corden,Sarah Solemani,Dawn French,NA,6741
Dororo,(2019),NA,30 min,"Animation, Action, Adventure",8.4,"A father in pursuit of power gives parts of his new-born son to a host of demons. Years later, the son battles those demons to regain what is rightfully his.",Mugihito,Hiroki Suzuki,Mutsumi Sasaki,NA,6735
La casa de las flores,(2018–2020),18+,60 min,"Comedy, Drama",7.7,A wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.,Cecilia Suárez,Claudette Maillé,Dario Yazbek Bernal,Juan Pablo Medina,6731
Hap and Leonard,(2016–2018),16,60 min,"Crime, Drama, Mystery",7.7,"Set in the late 1980's Hap and Leonard is a darkly comic swamp noir of two best friends, one femme fatale, a crew of washed up revolutionaries, a pair of murderous psycho killers, some lost loot, and the fuzz.",James Purefoy,Michael Kenneth Williams,Tiffany Mack,Cranston Johnson,6729
Mr. Sunshine,(2011–2012),NA,293 min,Comedy,6.8,"Ben Donovan manages The Sunshine Centre, a second rate sports arena in San Diego.",Andrea Anders,James Lesure,Nate Torrence,NA,6720
Murder in the First,(2014–2016),NA,42 min,"Crime, Drama, Mystery",7.3,"A single murder case is dissected from the committing of the crime through to the investigation, arrest and trial.",Kathleen Robertson,Ian Anthony Dale,Raphael Sbarge,NA,6710
